Taxon_Group,Taxon_orig,Taxon_v2,Changed,Rationale,NonTarget,OTU_MTTI,OTU_BCG_MariNW,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Oligochaeta,Bothrioneurum vejdovskyanum,Bothrioneurum,yes,,FALSE,Rhyacodrilinae,Oligochaeta,68778,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,Bothrioneurum,,,,,
Oligochaeta,Bothrioneurum,Bothrioneurum,no,,FALSE,Rhyacodrilinae,Oligochaeta,68778,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,Bothrioneurum,,,,,
Oligochaeta,Branchiura,Branchiura,no,,FALSE,Rhyacodrilinae,Oligochaeta,68619,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,Branchiura,,,,,
Oligochaeta,Branchiura sowerbyi,Branchiura,yes,,FALSE,Rhyacodrilinae,Oligochaeta,68619,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,Branchiura,,,,,
Oligochaeta,Rhyacodrilus,Rhyacodrilus,no,,FALSE,Rhyacodrilinae,Oligochaeta,68839,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,Rhyacodrilus,,,,,
Oligochaeta,Rhyacodrilis,Rhyacodrilus,yes,,FALSE,Rhyacodrilinae,Oligochaeta,68839,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,Rhyacodrilus,,,,,
Oligochaeta,Rhyacodrilus falciformis,Rhyacodrilus,yes,,FALSE,Rhyacodrilinae,Oligochaeta,68839,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,Rhyacodrilus,,,,,
Oligochaeta,Rhyacodrilinae,Rhyacodrilinae,no,,FALSE,Rhyacodrilinae,Oligochaeta,974287,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,,,,,,
Oligochaeta,Telmatodrilus vejdovskyi,Telmatodrilus vejdovskyi,no,,FALSE,DNI,Oligochaeta,68760,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Telmatodrilinae,,,Telmatodrilus,,,,,vejdovskyi
Oligochaeta,Aulodrilus pluriseta,Aulodrilus,yes,,FALSE,Tubificinae,Oligochaeta,68679,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Aulodrilus,,,,,
Oligochaeta,Aulodrilus,Aulodrilus,no,,FALSE,Tubificinae,Oligochaeta,68679,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Aulodrilus,,,,,
Oligochaeta,Ilyodrilus,Ilyodrilus,no,,FALSE,Tubificinae,Oligochaeta,68660,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Ilyodrilus,,,,,
Oligochaeta,Limnodrilus,Limnodrilus,no,,FALSE,Tubificinae,Oligochaeta,68638,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Limnodrilus,,,,,
Oligochaeta,Limnodrilus hoffmeisteri,Limnodrilus,yes,,FALSE,Tubificinae,Oligochaeta,68638,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Limnodrilus,,,,,
Oligochaeta,Potamothrix,Potamothrix,no,,FALSE,Tubificinae,Oligochaeta,68786,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Potamothrix,,,,,
Oligochaeta,Quistadrilus multisetosus,Quistradrilus,yes,,FALSE,Tubificinae,Oligochaeta,68793,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Quistradrilus,,,,,
Oligochaeta,Quistradrilus,Quistradrilus,no,,FALSE,Tubificinae,Oligochaeta,68793,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Quistradrilus,,,,,
Oligochaeta,Spirosperma nikolskyi,Spirosperma,yes,,FALSE,Tubificinae,Oligochaeta,68780,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Spirosperma,,,,,
Oligochaeta,Spirosperma,Spirosperma,no,,FALSE,Tubificinae,Oligochaeta,68780,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Spirosperma,,,,,
Oligochaeta,Tubifex,Tubifex,no,,FALSE,Tubificinae,Oligochaeta,68622,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Tubifex,,,,,
Oligochaeta,Varichaetadrilus,Varichaetadrilus,no,,FALSE,Tubificinae,Oligochaeta,68812,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Varichaetadrilus,,,,,
Oligochaeta,Tubificoid Naididae,Tubificinae,yes,,FALSE,Tubificinae,Oligochaeta,974289,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,,,,,,
Oligochaeta,Tubificoid Naididae with hair chaetae,Tubificinae,yes,,FALSE,Tubificinae,Oligochaeta,974289,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,,,,,,
Oligochaeta,Tubificoid Naididae without hair chaetae,Tubificinae,yes,,FALSE,Tubificinae,Oligochaeta,974289,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,,,,,,
Oligochaeta,Tubificina,Tubificinae,yes,,FALSE,Tubificinae,Oligochaeta,974289,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,,,,,,
Oligochaeta,Tubificinae,Tubificinae,no,,FALSE,Tubificinae,Oligochaeta,974289,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,,,,,,
Oligochaeta,Tubificidae,Tubificinae,yes,,FALSE,Tubificinae,Oligochaeta,974289,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,,,,,,
Oligochaeta,Naididae,Naididae,no,,FALSE,DNI,Oligochaeta,68854,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,,,,,,,,,
Oligochaeta,Clitellata,Oligochaeta,yes,,FALSE,DNI,Oligochaeta,68422,Animalia,Annelida,,Clitellata,Oligochaeta,,,,,,,,,,,,,
Oligochaeta,Oligochaeta,Oligochaeta,no,,FALSE,DNI,Oligochaeta,68422,Animalia,Annelida,,Clitellata,Oligochaeta,,,,,,,,,,,,,
Oligochaeta,oligochaetous Clitellata,Oligochaeta,yes,,FALSE,DNI,Oligochaeta,68422,Animalia,Annelida,,Clitellata,Oligochaeta,,,,,,,,,,,,,
Terrestrial,Sparganophilidae,Sparganophilidae,no,Terrestrial,TRUE,DNI,Sparganophilidae,,Animalia,Annelida,,Clitellata,,Opisthopora,,,,,,,,,,,,
Terrestrial,Crassiclitellata,Crassiclitellata,no,Terrestrial,TRUE,DNI,Crassiclitellata,974256,Animalia,Annelida,,Clitellata,,Opisthopra,Crassiclitellata,,,,,,,,,,,
